TransportID,OrderID,Type,Capacity,AssignedTo,CurrentStatus
TR0377,OR0377,Ship,15793.31,Garcia-Mccullough,In Transit
TR0378,OR0378,Ship,13065.3,Freeman-Miller,Delivered
TR0379,OR0379,Ship,10523.73,"Delacruz, Miller and Lin",Delivered
TR0380,OR0380,Pipeline,2234.99,Smith-Myers,Pending
TR0381,OR0381,Ship,3330.82,Morris LLC,Pending
TR0382,OR0382,Pipeline,1256.44,Farley PLC,Pending
TR0383,OR0383,Ship,9148.5,"Howard, White and Gaines",In Transit
TR0384,OR0384,Tanker Truck,9824.11,Rogers-Fernandez,Pending
TR0385,OR0385,Ship,7254.2,Adams Group,Delivered
TR0386,OR0386,Ship,18615.14,"Cole, White and Rodriguez",Delivered
TR0387,OR0387,Rail Tanker,6577.47,"Brown, Humphrey and Brooks",Pending
TR0388,OR0388,Ship,17770.39,Gilbert-Lynch,In Transit
TR0389,OR0389,Rail Tanker,3473.45,"Taylor, Gallagher and Johnson",In Transit
TR0390,OR0390,Ship,8681.58,Wheeler-Gonzalez,Delivered
TR0391,OR0391,Ship,12059.58,"Morrison, Vazquez and Jimenez",Pending
TR0392,OR0392,Pipeline,19435.55,Sanchez-Giles,Pending
TR0393,OR0393,Pipeline,12236.07,"Kane, Sherman and Scott",Pending
TR0394,OR0394,Pipeline,5047.87,"Carter, Campbell and Ortiz",Pending
TR0395,OR0395,Rail Tanker,10764.59,Smith Group,In Transit
TR0396,OR0396,Pipeline,16672.64,Mcmahon-Cox,Pending
TR0397,OR0397,Tanker Truck,13128.7,Edwards Ltd,In Transit
TR0398,OR0398,Ship,10020.86,Kemp-Webster,Delivered
TR0399,OR0399,Pipeline,4445.62,Collins and Sons,Pending
TR0400,OR0400,Rail Tanker,13358.23,Sims Group,Pending
TR0401,OR0401,Tanker Truck,3491.43,Francis LLC,Pending
TR0402,OR0402,Ship,7594.15,"Smith, Humphrey and Roberts",In Transit
TR0403,OR0403,Pipeline,16689.96,"Lopez, Parks and Murphy",In Transit
TR0404,OR0404,Rail Tanker,17132.64,"Robinson, Bennett and Blevins",In Transit
TR0405,OR0405,Tanker Truck,19776.52,Castaneda-Robinson,In Transit
TR0406,OR0406,Pipeline,5213.43,Mosley and Sons,Delivered
TR0407,OR0407,Tanker Truck,8854.89,"Orr, Munoz and Thompson",Delivered
TR0408,OR0408,Rail Tanker,19550.82,Ryan-Mayo,Pending
TR0409,OR0409,Pipeline,15559.37,Thompson-Garner,In Transit
TR0410,OR0410,Ship,1829.43,Walls PLC,Pending
TR0411,OR0411,Rail Tanker,15083.55,Powell-Sanders,Delivered
TR0412,OR0412,Tanker Truck,3021.36,Miller-Haynes,In Transit
TR0413,OR0413,Pipeline,4524.95,Cruz LLC,In Transit
TR0414,OR0414,Pipeline,6987.46,"Schultz, Tapia and Evans",In Transit
TR0415,OR0415,Ship,4469.55,"Lyons, Clark and French",Pending
TR0416,OR0416,Ship,11637.44,Kelly and Sons,In Transit
TR0417,OR0417,Tanker Truck,12700.15,Wright Ltd,Pending
TR0418,OR0418,Tanker Truck,2223.81,Smith-Dennis,Delivered
TR0419,OR0419,Rail Tanker,4723.24,"Houston, Williamson and Walker",In Transit
TR0420,OR0420,Tanker Truck,13520.61,Hodge PLC,In Transit
TR0421,OR0421,Tanker Truck,8245.25,Walker LLC,Delivered
TR0422,OR0422,Rail Tanker,8395.28,Cook-Higgins,Delivered
TR0423,OR0423,Pipeline,11621.25,Burch LLC,Pending
TR0424,OR0424,Tanker Truck,13828.86,"Nixon, Pierce and Porter",Delivered
TR0425,OR0425,Pipeline,1175.7,"Powell, Pugh and Hughes",In Transit
TR0426,OR0426,Ship,10243.88,"James, Paul and Leonard",Pending
TR0427,OR0427,Rail Tanker,17729.45,Mason-Mays,Delivered
TR0428,OR0428,Tanker Truck,15397.42,"Kramer, Smith and Robinson",Delivered
TR0429,OR0429,Ship,10650.89,Petersen-Lambert,Delivered
TR0430,OR0430,Ship,4690.12,"Castro, Bennett and Galloway",Delivered
TR0431,OR0431,Tanker Truck,1588.35,"Contreras, Taylor and Smith",Pending
TR0432,OR0432,Ship,1456.12,"Dickson, Massey and Farley",In Transit
TR0433,OR0433,Tanker Truck,16723.57,Gomez-Rogers,Pending
TR0434,OR0434,Pipeline,6873.24,"Garrison, Sampson and Dixon",Delivered
TR0435,OR0435,Ship,18341.36,Turner-Robertson,In Transit
TR0436,OR0436,Tanker Truck,5462.21,Lewis-Santos,In Transit
TR0437,OR0437,Rail Tanker,18114.81,"Rhodes, Carpenter and Gutierrez",Delivered
TR0438,OR0438,Rail Tanker,10326.17,Bradley-Taylor,Pending
TR0439,OR0439,Pipeline,10528.4,"Wood, Norris and Black",Pending
TR0440,OR0440,Ship,3507.91,"Walton, Santos and Park",Delivered
TR0441,OR0441,Ship,19652.27,Parker Inc,In Transit
TR0442,OR0442,Ship,9919.84,Whitaker Ltd,Pending
TR0443,OR0443,Pipeline,3468.33,"Fisher, Jones and Hess",Delivered
TR0444,OR0444,Rail Tanker,13346.62,Todd LLC,In Transit
TR0445,OR0445,Tanker Truck,11287.22,"Yoder, Gonzalez and Gillespie",Delivered
TR0446,OR0446,Rail Tanker,11430.15,"Edwards, Mckenzie and Mckinney",Delivered
TR0447,OR0447,Rail Tanker,2271.89,Snyder and Sons,In Transit
TR0448,OR0448,Tanker Truck,12444.28,"Bernard, Holt and Campbell",Delivered
TR0449,OR0449,Tanker Truck,15998.08,Miller-Ramos,In Transit
TR0450,OR0450,Rail Tanker,14922.05,Adams-Powell,Pending
TR0451,OR0451,Tanker Truck,7053.34,Reese-Newton,In Transit
TR0452,OR0452,Pipeline,13879.13,Miller LLC,Pending
TR0453,OR0453,Tanker Truck,17726.12,"Woods, Lopez and Moore",In Transit
TR0454,OR0454,Pipeline,7191.9,Cross Group,Delivered
TR0455,OR0455,Ship,8633.58,"Wood, Ford and Ball",Delivered
TR0456,OR0456,Tanker Truck,13593.43,Price LLC,Delivered
TR0457,OR0457,Tanker Truck,2609.78,Sandoval-Freeman,Pending
TR0458,OR0458,Tanker Truck,2777.7,Evans-Hamilton,In Transit
TR0459,OR0459,Rail Tanker,7582.33,Wagner and Sons,In Transit
TR0460,OR0460,Ship,19288.52,"Walker, Perez and Brown",Delivered
TR0461,OR0461,Tanker Truck,3467.79,"Wright, Colon and Gutierrez",Delivered
TR0462,OR0462,Pipeline,11177.3,Hancock LLC,Delivered
TR0463,OR0463,Pipeline,13983.76,"Malone, Johnson and Mckenzie",Pending
TR0464,OR0464,Rail Tanker,12276.62,Hughes LLC,Delivered
TR0465,OR0465,Rail Tanker,6684.72,Medina-Peterson,Pending
TR0466,OR0466,Pipeline,19735.85,Wilson-Gordon,Delivered
TR0467,OR0467,Rail Tanker,10065.71,Blake-Aguilar,In Transit
TR0468,OR0468,Rail Tanker,19982.06,"Brown, Stanley and Dunn",In Transit
TR0469,OR0469,Rail Tanker,16059.06,Morrison LLC,Pending
TR0470,OR0470,Pipeline,17069.01,Jimenez Ltd,Pending
TR0471,OR0471,Ship,3949.29,Castillo and Sons,Delivered
TR0472,OR0472,Tanker Truck,16422.13,Galloway-Dunn,Pending
TR0473,OR0473,Pipeline,12626.71,Meyer-Mcdaniel,In Transit
TR0474,OR0474,Ship,16103.1,Burns Ltd,Pending
TR0475,OR0475,Tanker Truck,18051.55,Bennett LLC,Delivered
TR0476,OR0476,Rail Tanker,6863.45,Jones-Marquez,Delivered
TR0477,OR0477,Tanker Truck,3072.06,"Morris, Black and Perez",Pending
TR0478,OR0478,Ship,1225.49,Turner-Marshall,Delivered
TR0479,OR0479,Tanker Truck,16513.85,"Navarro, Gentry and Miller",Pending
TR0480,OR0480,Rail Tanker,19572.37,Watson-Cochran,In Transit
TR0481,OR0481,Tanker Truck,9082.79,Mccoy PLC,Pending
TR0482,OR0482,Ship,5585.89,Robinson and Sons,Pending
TR0483,OR0483,Tanker Truck,15468.84,Bond Ltd,Delivered
TR0484,OR0484,Tanker Truck,17709.25,"Miller, Galloway and Love",Delivered
TR0485,OR0485,Rail Tanker,5655.9,Thompson Group,Delivered
TR0486,OR0486,Pipeline,6739.26,Scott and Sons,In Transit
TR0487,OR0487,Ship,9664.8,"Zimmerman, Clements and Washington",In Transit
TR0488,OR0488,Rail Tanker,10039.45,"Friedman, Murray and Maxwell",Pending
TR0489,OR0489,Ship,18674.3,"Perry, Spencer and Walker",Delivered
TR0490,OR0490,Rail Tanker,1527.64,Barker LLC,Delivered
TR0491,OR0491,Ship,14031.21,Wilson PLC,Delivered
TR0492,OR0492,Rail Tanker,11697.0,Walker Inc,Pending
TR0493,OR0493,Rail Tanker,8390.73,Morris-Doyle,Delivered
TR0494,OR0494,Tanker Truck,4330.19,"Arnold, Thomas and Mendoza",Pending
TR0495,OR0495,Ship,4233.09,Orr-Pugh,In Transit
TR0496,OR0496,Rail Tanker,1413.19,"Lee, Smith and Martinez",Delivered
TR0497,OR0497,Pipeline,12750.77,Merritt-Wood,In Transit
TR0498,OR0498,Ship,7569.17,"Perez, Banks and Rogers",In Transit
TR0499,OR0499,Ship,4742.49,"Taylor, Rogers and Johnston",In Transit
TR0500,OR0500,Pipeline,12366.63,"Ortiz, Rasmussen and Simon",Pending
TR0501,OR0501,Tanker Truck,11447.1,"Cook, Erickson and French",Pending
TR0502,OR0502,Tanker Truck,8888.01,"Mitchell, Hicks and Lozano",Delivered
TR0503,OR0503,Ship,5945.3,Kelley-Ferguson,Pending
TR0504,OR0504,Rail Tanker,16640.29,Norris-Irwin,In Transit
TR0505,OR0505,Rail Tanker,7944.72,"Wilson, Hays and Summers",In Transit
TR0506,OR0506,Pipeline,14606.59,Bell and Sons,In Transit
TR0507,OR0507,Ship,9144.64,"Garcia, Walker and Walker",Delivered
TR0508,OR0508,Ship,8588.7,Lewis-Page,In Transit
TR0509,OR0509,Ship,18265.7,Ramsey Group,In Transit
TR0510,OR0510,Rail Tanker,2804.77,"Stewart, Palmer and Ware",Pending
TR0511,OR0511,Pipeline,14975.97,Carrillo PLC,Delivered
TR0512,OR0512,Rail Tanker,15372.34,Hamilton-Howe,Delivered
TR0513,OR0513,Pipeline,9128.21,Jones and Sons,Pending
TR0514,OR0514,Ship,1209.33,Allen LLC,In Transit
TR0515,OR0515,Pipeline,17870.6,"Torres, Rice and Rios",Pending
TR0516,OR0516,Rail Tanker,8817.07,Petersen-Warren,In Transit
TR0517,OR0517,Pipeline,1691.38,Cooper LLC,Delivered
TR0518,OR0518,Tanker Truck,12734.19,Hernandez-Robinson,In Transit
TR0519,OR0519,Ship,15328.64,Anderson and Sons,Delivered
TR0520,OR0520,Tanker Truck,5200.92,Howard LLC,Delivered
TR0521,OR0521,Tanker Truck,9662.67,Swanson-Miller,Delivered
TR0522,OR0522,Tanker Truck,16115.95,Reynolds-Scott,Delivered
TR0523,OR0523,Pipeline,9929.06,"Evans, West and Jones",In Transit
TR0524,OR0524,Tanker Truck,8086.94,"Benson, Woods and Ruiz",Delivered
TR0525,OR0525,Ship,9621.18,Lawrence Ltd,In Transit
TR0526,OR0526,Tanker Truck,3302.72,Johnson-Mccarty,Pending
TR0527,OR0527,Rail Tanker,12015.9,"George, Hill and Chavez",In Transit
TR0528,OR0528,Ship,4272.49,Cortez Inc,In Transit
TR0529,OR0529,Tanker Truck,9742.01,"Torres, Hart and Lee",In Transit
TR0530,OR0530,Rail Tanker,16279.17,Thompson and Sons,Delivered
TR0531,OR0531,Ship,2618.0,Mckinney-Nelson,In Transit
TR0532,OR0532,Rail Tanker,1432.89,"Moore, Ross and Moss",In Transit
TR0533,OR0533,Ship,5541.47,"Miles, Snyder and Williams",Pending
TR0534,OR0534,Rail Tanker,16657.18,York PLC,Pending
TR0535,OR0535,Rail Tanker,3129.97,Christensen LLC,Delivered
TR0536,OR0536,Tanker Truck,11751.03,Blevins LLC,Pending
TR0537,OR0537,Rail Tanker,17493.79,Wade Inc,In Transit
TR0538,OR0538,Rail Tanker,12833.65,Hester-Ochoa,In Transit
TR0539,OR0539,Pipeline,18362.16,Espinoza-Rodriguez,Delivered
TR0540,OR0540,Tanker Truck,8263.48,Weeks-Clark,In Transit
TR0541,OR0541,Ship,8091.99,"Zimmerman, Lopez and Mcdonald",In Transit
TR0542,OR0542,Tanker Truck,14660.8,Golden-Nelson,Pending
TR0543,OR0543,Tanker Truck,17571.92,Clark Group,In Transit
TR0544,OR0544,Tanker Truck,17599.59,Pope and Sons,In Transit
TR0545,OR0545,Tanker Truck,16031.8,Dillon PLC,Pending
TR0546,OR0546,Rail Tanker,5916.87,Mcconnell LLC,Pending
TR0547,OR0547,Rail Tanker,19978.9,Armstrong-Moses,Pending
TR0548,OR0548,Pipeline,5798.44,Allen LLC,Delivered
TR0549,OR0549,Tanker Truck,17478.64,Meza-Smith,Delivered
TR0550,OR0550,Tanker Truck,11944.41,"Rose, Reed and Harris",Delivered
TR0551,OR0551,Ship,1919.86,Sanders LLC,Delivered
TR0552,OR0552,Rail Tanker,15217.12,Martinez and Sons,In Transit
TR0553,OR0553,Rail Tanker,8992.16,Garcia PLC,Delivered
TR0554,OR0554,Ship,17547.66,Johnson Ltd,Delivered
TR0555,OR0555,Rail Tanker,8257.29,Taylor LLC,In Transit
TR0556,OR0556,Ship,6973.27,Wilcox-Graves,Delivered
TR0557,OR0557,Rail Tanker,12998.37,Villarreal-Anderson,Delivered
TR0558,OR0558,Rail Tanker,9172.07,Jones-Adams,In Transit
TR0559,OR0559,Pipeline,12615.14,Leonard Inc,Delivered
TR0560,OR0560,Pipeline,7248.99,"Johnston, Gibson and Chandler",Delivered
TR0561,OR0561,Pipeline,2619.2,Harrington-Juarez,Pending
TR0562,OR0562,Ship,16664.31,"Sweeney, Young and Lawrence",In Transit
TR0563,OR0563,Ship,1573.8,Heath Inc,In Transit
TR0564,OR0564,Pipeline,12593.06,Harding-Lopez,In Transit
TR0565,OR0565,Rail Tanker,5490.25,"Ruiz, Murphy and Davis",Delivered
TR0566,OR0566,Tanker Truck,10443.48,"Snyder, Foster and Chavez",In Transit
TR0567,OR0567,Rail Tanker,17784.37,"Higgins, Reyes and Mcconnell",In Transit
TR0568,OR0568,Rail Tanker,2310.63,"Ramirez, Clark and Russell",Pending
TR0569,OR0569,Pipeline,16089.09,Fitzpatrick Inc,Pending
TR0570,OR0570,Pipeline,9514.71,Morris-Collins,Pending
TR0571,OR0571,Rail Tanker,19828.66,"Roach, Fletcher and Tran",In Transit
TR0572,OR0572,Pipeline,18151.75,Miles Inc,Delivered
TR0573,OR0573,Tanker Truck,1900.79,"Valdez, Campbell and Jenkins",Pending
TR0574,OR0574,Rail Tanker,15325.13,Cole-Peterson,Pending
TR0575,OR0575,Ship,8444.87,Cole-Lang,Pending
TR0576,OR0576,Ship,14481.67,Brown-Cooper,Pending
TR0577,OR0577,Tanker Truck,6898.6,Logan Group,Pending
TR0578,OR0578,Pipeline,19077.36,Johnson-Dodson,Delivered
TR0579,OR0579,Rail Tanker,8095.69,"Lopez, Manning and Bird",In Transit
TR0580,OR0580,Rail Tanker,9049.84,"Tran, Baker and Thomas",In Transit
TR0581,OR0581,Pipeline,16700.37,Allen-Leonard,Pending
TR0582,OR0582,Pipeline,16661.45,"Riley, Miller and Jimenez",In Transit
TR0583,OR0583,Tanker Truck,6982.49,Graham-Jensen,Delivered
TR0584,OR0584,Rail Tanker,8601.95,"Costa, Hamilton and Mitchell",In Transit
TR0585,OR0585,Pipeline,18051.81,Buchanan-Campbell,Pending
TR0586,OR0586,Tanker Truck,10900.61,"Kirk, Gilbert and Duran",Delivered
TR0587,OR0587,Ship,14471.1,Matthews Inc,Delivered
TR0588,OR0588,Ship,5888.97,"Moyer, Lewis and Mitchell",Delivered
TR0589,OR0589,Rail Tanker,12314.31,Davis-Mullen,Delivered
TR0590,OR0590,Rail Tanker,11515.58,"Stevens, Padilla and Rodriguez",Delivered
TR0591,OR0591,Tanker Truck,13934.07,Baldwin LLC,Pending
TR0592,OR0592,Rail Tanker,4485.62,"Horton, Simmons and Olson",Pending
TR0593,OR0593,Pipeline,16530.3,"Abbott, Hayden and Mcfarland",In Transit
TR0594,OR0594,Tanker Truck,12332.23,Sanchez LLC,Delivered
TR0595,OR0595,Tanker Truck,9860.42,"Dillon, Murphy and Mccoy",In Transit
TR0596,OR0596,Ship,6342.57,Johnson LLC,In Transit
TR0597,OR0597,Pipeline,9557.44,Wall Ltd,Pending
TR0598,OR0598,Rail Tanker,10094.06,Valdez Inc,In Transit
TR0599,OR0599,Pipeline,14313.65,"Ferguson, Wilkinson and Garza",Delivered
TR0600,OR0600,Tanker Truck,8735.4,"Butler, Bowen and Mitchell",In Transit
TR0601,OR0601,Pipeline,6361.53,Kaiser Ltd,In Transit
TR0602,OR0602,Ship,7071.27,Thomas LLC,Pending
TR0603,OR0603,Pipeline,19879.34,"Watts, Baker and Austin",Pending
TR0604,OR0604,Pipeline,5806.93,Knight-Sellers,Delivered
TR0605,OR0605,Pipeline,12298.96,Orr-Maxwell,Delivered
TR0606,OR0606,Tanker Truck,4455.34,Roberts LLC,Delivered
TR0607,OR0607,Rail Tanker,16119.41,Kramer-Maynard,Delivered
TR0608,OR0608,Pipeline,3864.15,Phillips-Clark,In Transit
TR0609,OR0609,Ship,5486.78,Richmond LLC,Delivered
TR0610,OR0610,Tanker Truck,1200.33,"Horton, Johnson and Hill",In Transit
TR0611,OR0611,Pipeline,18333.73,Allen Inc,Delivered
TR0612,OR0612,Tanker Truck,2687.05,Drake-Tran,Delivered
TR0613,OR0613,Ship,5553.67,Middleton-Thomas,In Transit
TR0614,OR0614,Pipeline,8129.07,Payne PLC,Delivered
TR0615,OR0615,Pipeline,9204.84,Turner and Sons,In Transit
TR0616,OR0616,Ship,7923.86,"Reyes, Boyd and Briggs",In Transit
TR0617,OR0617,Rail Tanker,14754.84,"Long, Swanson and Shaffer",In Transit
TR0618,OR0618,Pipeline,6206.43,Soto PLC,Pending
TR0619,OR0619,Pipeline,10856.45,Flores-Valenzuela,Pending
TR0620,OR0620,Ship,11933.36,Ford Ltd,In Transit
TR0621,OR0621,Pipeline,16444.35,"Brown, Harvey and Nguyen",Pending
TR0622,OR0622,Pipeline,18809.09,Harrison-Horne,Delivered
TR0623,OR0623,Tanker Truck,15179.62,"Ortiz, Wheeler and Jarvis",In Transit
TR0624,OR0624,Ship,11516.58,Le-Houston,In Transit
TR0625,OR0625,Tanker Truck,4698.3,Richards PLC,In Transit
TR0626,OR0626,Tanker Truck,7843.66,Greene-Juarez,Pending
TR0627,OR0627,Rail Tanker,14531.7,Austin-Martinez,Pending
TR0628,OR0628,Tanker Truck,16462.65,"Holmes, Howard and Romero",In Transit
TR0629,OR0629,Tanker Truck,15511.28,Miller and Sons,Delivered
TR0630,OR0630,Pipeline,16660.25,"Christian, Estrada and Dunn",In Transit
TR0631,OR0631,Tanker Truck,4041.44,"Rangel, Carlson and Webb",Pending
TR0632,OR0632,Pipeline,2522.0,"Davenport, Madden and White",In Transit
TR0633,OR0633,Tanker Truck,2950.62,Torres PLC,Delivered
TR0634,OR0634,Pipeline,1729.73,"Garza, Hill and Jensen",Pending
TR0635,OR0635,Tanker Truck,4130.62,"Crawford, Boone and Wilson",In Transit
TR0636,OR0636,Tanker Truck,12733.55,Wilson and Sons,In Transit
TR0637,OR0637,Tanker Truck,7520.37,Chang and Sons,In Transit
TR0638,OR0638,Pipeline,1988.82,Francis-Smith,In Transit
TR0639,OR0639,Tanker Truck,5533.67,James-Bates,In Transit
TR0640,OR0640,Tanker Truck,12172.62,"Phillips, Weaver and Greer",Delivered
TR0641,OR0641,Ship,15939.86,Carroll-Rhodes,Delivered
TR0642,OR0642,Rail Tanker,7829.21,Fisher-Sawyer,Pending
TR0643,OR0643,Pipeline,4123.81,Castro-Terrell,Delivered
TR0644,OR0644,Ship,17457.18,Ferguson Inc,Delivered
TR0645,OR0645,Rail Tanker,16266.26,Montes Ltd,Delivered
TR0646,OR0646,Pipeline,9724.59,Hall Inc,In Transit
TR0647,OR0647,Tanker Truck,12991.17,"Wolf, Gordon and Garcia",Delivered
TR0648,OR0648,Rail Tanker,2147.8,Swanson-Ochoa,Pending
TR0649,OR0649,Ship,11093.17,"Crawford, Thomas and Perez",Pending
TR0650,OR0650,Rail Tanker,6761.11,"Cook, Graham and Garcia",Pending
TR0651,OR0651,Pipeline,12510.99,Shaw-Henry,Delivered
TR0652,OR0652,Tanker Truck,8960.98,"Acosta, Green and Jones",Pending
TR0653,OR0653,Ship,8378.73,"Horn, Proctor and Lane",Delivered
TR0654,OR0654,Rail Tanker,6354.7,Jones-Anderson,Pending
TR0655,OR0655,Pipeline,12623.27,Lewis and Sons,Delivered
TR0656,OR0656,Ship,7697.78,Carey Ltd,In Transit
TR0657,OR0657,Ship,2638.59,"Hoffman, Rodriguez and Powers",In Transit
TR0658,OR0658,Tanker Truck,6100.22,Whitehead Ltd,In Transit
TR0659,OR0659,Pipeline,3551.12,Reyes-Valencia,Pending
TR0660,OR0660,Pipeline,9207.66,Carter-Cantu,Pending
TR0661,OR0661,Pipeline,7927.79,Smith-Smith,Delivered
TR0662,OR0662,Ship,15146.67,Moore Inc,Delivered
TR0663,OR0663,Rail Tanker,1336.48,"Garcia, Arnold and Thomas",Pending
TR0664,OR0664,Pipeline,5923.89,Barnes and Sons,Delivered
TR0665,OR0665,Pipeline,13724.36,Cook PLC,Pending
TR0666,OR0666,Ship,3236.75,"Waller, Mercer and Mills",Pending
TR0667,OR0667,Pipeline,4404.49,Johnson-Mitchell,Pending
TR0668,OR0668,Tanker Truck,16105.0,"Ford, Graves and Costa",Delivered
TR0669,OR0669,Pipeline,17665.88,Day Ltd,In Transit
TR0670,OR0670,Rail Tanker,9666.65,Knight-Barnett,In Transit
TR0671,OR0671,Pipeline,6535.52,Thomas PLC,Pending
TR0672,OR0672,Pipeline,18188.0,Greene PLC,Pending
TR0673,OR0673,Ship,9321.26,"Gardner, Higgins and Allen",In Transit
TR0674,OR0674,Pipeline,8162.2,"Smith, Schwartz and Miller",Delivered
TR0675,OR0675,Ship,13556.22,Smith-Lewis,In Transit
TR0676,OR0676,Tanker Truck,10090.36,Grant and Sons,Delivered
TR0677,OR0677,Pipeline,6866.76,"Bishop, Peck and Mckinney",Pending
TR0678,OR0678,Rail Tanker,11642.57,Davenport-Parrish,Pending
TR0679,OR0679,Rail Tanker,4392.66,Little PLC,Pending
TR0680,OR0680,Pipeline,11082.1,"Greene, Smith and Vargas",In Transit
TR0681,OR0681,Rail Tanker,2407.7,Morgan and Sons,Pending
TR0682,OR0682,Rail Tanker,7790.94,Sharp Ltd,Delivered
TR0683,OR0683,Tanker Truck,3813.0,Miles and Sons,Delivered
TR0684,OR0684,Pipeline,17761.29,Murphy-Davis,Delivered
TR0685,OR0685,Ship,13634.1,Evans and Sons,Delivered
TR0686,OR0686,Tanker Truck,3044.49,Thomas LLC,In Transit
TR0687,OR0687,Tanker Truck,9556.26,Zavala PLC,In Transit
TR0688,OR0688,Ship,14899.99,Alvarado Inc,Pending
TR0689,OR0689,Tanker Truck,8362.57,Lewis and Sons,Pending
TR0690,OR0690,Rail Tanker,3121.14,"Butler, Dalton and Benton",Delivered
TR0691,OR0691,Pipeline,6364.0,"Andersen, Soto and Newton",Pending
TR0692,OR0692,Ship,3668.67,Olson LLC,Delivered
TR0693,OR0693,Pipeline,5870.08,Daniels PLC,Delivered
TR0694,OR0694,Rail Tanker,18523.6,"Miranda, Evans and Andersen",Pending
TR0695,OR0695,Tanker Truck,8078.51,Guzman Ltd,Pending
TR0696,OR0696,Pipeline,6611.47,"Arroyo, Edwards and Turner",In Transit
TR0697,OR0697,Ship,19082.25,Porter-Anderson,Delivered
TR0698,OR0698,Pipeline,3363.33,Campbell Inc,Pending
TR0699,OR0699,Tanker Truck,1258.47,"Harris, Green and Gonzalez",Delivered
TR0700,OR0700,Ship,19076.96,Thompson-Perez,Delivered
TR0701,OR0701,Rail Tanker,10221.53,Curry-Crawford,Pending
TR0702,OR0702,Rail Tanker,3852.62,Saunders-Patrick,In Transit
TR0703,OR0703,Pipeline,2789.14,Holmes-Mendoza,Pending
TR0704,OR0704,Tanker Truck,13489.37,Powers-Castro,Pending
TR0705,OR0705,Rail Tanker,5603.2,Zimmerman Group,Pending
TR0706,OR0706,Tanker Truck,2215.55,Gross Group,Delivered
TR0707,OR0707,Ship,15784.25,Herrera-Lawrence,In Transit
TR0708,OR0708,Rail Tanker,18324.82,Pierce-Castaneda,In Transit
TR0709,OR0709,Ship,15184.32,Wilson Inc,Pending
TR0710,OR0710,Pipeline,12820.62,Bailey and Sons,Pending
TR0711,OR0711,Tanker Truck,16641.62,Roy-Lawrence,In Transit
TR0712,OR0712,Pipeline,7390.68,Adkins Ltd,Delivered
TR0713,OR0713,Rail Tanker,7304.52,Gates Inc,Delivered
TR0714,OR0714,Ship,2067.69,Riley Group,In Transit
TR0715,OR0715,Tanker Truck,11103.28,Waters-Hill,In Transit
TR0716,OR0716,Rail Tanker,17847.28,"Flores, Meyers and Garcia",Delivered
TR0717,OR0717,Tanker Truck,1760.31,Peters Inc,In Transit
TR0718,OR0718,Ship,2565.05,"Mills, Yang and Walker",In Transit
TR0719,OR0719,Tanker Truck,2768.28,Knight Ltd,In Transit
TR0720,OR0720,Ship,7142.74,Watkins-King,In Transit
TR0721,OR0721,Ship,18755.15,Cook-Watkins,Delivered
TR0722,OR0722,Ship,2837.48,Young and Sons,Delivered
TR0723,OR0723,Tanker Truck,19033.13,Moore-Gonzalez,In Transit
TR0724,OR0724,Rail Tanker,9194.96,"Franco, Brown and Willis",Delivered
TR0725,OR0725,Tanker Truck,14337.14,Anderson Ltd,Delivered
TR0726,OR0726,Pipeline,11206.46,Carter-Patel,Delivered
TR0727,OR0727,Rail Tanker,17136.28,Mcknight-Mcguire,Pending
TR0728,OR0728,Ship,11378.87,"White, Grant and Bradford",Pending
TR0729,OR0729,Rail Tanker,19457.84,Jones Inc,In Transit
TR0730,OR0730,Rail Tanker,5764.21,Anderson-Reyes,In Transit
TR0731,OR0731,Ship,17692.53,Hines Group,Pending
TR0732,OR0732,Pipeline,10199.27,Romero Group,In Transit
TR0733,OR0733,Tanker Truck,4461.41,Odonnell and Sons,In Transit
TR0734,OR0734,Pipeline,6665.15,Smith-Bartlett,Pending
TR0735,OR0735,Tanker Truck,6706.57,"Brown, Stewart and Tran",Delivered
TR0736,OR0736,Pipeline,1507.96,Gutierrez Inc,Delivered
TR0737,OR0737,Pipeline,14646.39,Turner-Pacheco,Delivered
TR0738,OR0738,Ship,17666.14,Hall-Sanders,Delivered
TR0739,OR0739,Pipeline,3731.21,Duran Ltd,Pending
TR0740,OR0740,Rail Tanker,17913.07,"Walker, Callahan and Ramirez",In Transit
TR0741,OR0741,Ship,19186.03,Ali PLC,Pending
TR0742,OR0742,Tanker Truck,11709.75,"Whitney, Hernandez and Alexander",In Transit
TR0743,OR0743,Tanker Truck,16916.64,"Johnson, Walters and Ford",Pending
TR0744,OR0744,Tanker Truck,11362.57,"Jones, Burke and Callahan",Pending
TR0745,OR0745,Tanker Truck,10265.62,"Terry, Gonzalez and Pruitt",Delivered
TR0746,OR0746,Tanker Truck,6053.01,"Lewis, Paul and Lowe",Pending
TR0747,OR0747,Rail Tanker,10839.16,Cisneros Inc,Pending
TR0748,OR0748,Ship,19102.28,Murphy-Lester,In Transit
TR0749,OR0749,Tanker Truck,7774.24,"Sanchez, Patterson and Robinson",Delivered
TR0750,OR0750,Ship,3739.22,"Davis, Martinez and Bartlett",Delivered
TR0751,OR0751,Pipeline,15825.41,Stone-Collins,Delivered
TR0752,OR0752,Pipeline,15820.07,"Palmer, Ortiz and Kim",Pending
TR0753,OR0753,Rail Tanker,18132.15,Martin PLC,In Transit
