OrderID,ClientID,ProductID,LocationID,Quantity,OrderDate,Status
OR0405,CL033,PR004,LO025,8448.08,2024-01-23,Fulfilled
OR0406,CL039,PR004,LO033,7104.65,2024-01-07,Fulfilled
OR0407,CL013,PR001,LO052,7103.85,2024-01-14,Pending
OR0408,CL033,PR004,LO005,728.11,2024-01-28,Pending
OR0409,CL039,PR005,LO031,7721.48,2024-01-22,Pending
OR0410,CL024,PR003,LO022,813.96,2024-01-27,Pending
OR0411,CL034,PR001,LO064,2899.16,2024-01-05,Pending
OR0412,CL026,PR003,LO024,5077.68,2024-01-06,Pending
OR0413,CL035,PR001,LO041,414.16,2024-01-08,Pending
OR0414,CL037,PR001,LO032,1436.23,2024-01-24,Pending
OR0415,CL026,PR005,LO072,7599.24,2024-01-09,Fulfilled
OR0416,CL017,PR001,LO071,7666.67,2024-01-20,Fulfilled
OR0417,CL026,PR003,LO002,7561.48,2024-01-01,Pending
OR0418,CL007,PR003,LO046,275.16,2024-01-25,Fulfilled
OR0419,CL016,PR002,LO063,845.48,2024-01-13,Fulfilled
OR0420,CL017,PR003,LO055,3920.37,2024-01-19,Fulfilled
OR0421,CL009,PR004,LO060,6745.54,2024-01-26,Fulfilled
OR0422,CL034,PR003,LO041,1855.04,2024-01-06,Fulfilled
OR0423,CL017,PR004,LO018,8304.66,2024-01-13,Pending
OR0424,CL040,PR002,LO058,7258.82,2024-01-30,Pending
OR0425,CL032,PR002,LO074,1725.17,2024-01-22,Pending
OR0426,CL035,PR003,LO071,1844.15,2024-01-09,Fulfilled
OR0427,CL019,PR003,LO024,1397.73,2024-01-22,Pending
OR0428,CL042,PR005,LO042,3200.06,2024-01-22,Fulfilled
OR0429,CL040,PR003,LO086,4426.57,2024-01-23,Pending
OR0430,CL036,PR001,LO018,6016.7,2024-01-23,Pending
OR0431,CL008,PR004,LO038,183.35,2024-01-05,Fulfilled
OR0432,CL045,PR004,LO076,4666.76,2024-01-02,Fulfilled
OR0433,CL048,PR003,LO027,6886.12,2024-01-31,Fulfilled
OR0434,CL013,PR003,LO056,7214.67,2024-01-30,Pending
OR0435,CL028,PR001,LO079,3014.27,2024-01-05,Pending
OR0436,CL031,PR004,LO074,1732.03,2024-01-19,Pending
OR0437,CL010,PR002,LO049,2523.62,2024-01-18,Fulfilled
OR0438,CL016,PR004,LO002,7218.16,2024-01-22,Pending
OR0439,CL038,PR005,LO059,8829.52,2024-01-23,Pending
OR0440,CL032,PR002,LO090,4936.29,2024-01-11,Fulfilled
OR0441,CL022,PR003,LO091,5314.9,2024-01-10,Pending
OR0442,CL026,PR003,LO016,5902.39,2024-01-09,Fulfilled
OR0443,CL016,PR004,LO018,7447.33,2024-01-28,Fulfilled
OR0444,CL045,PR004,LO017,2333.87,2024-01-20,Pending
OR0445,CL021,PR005,LO044,3834.14,2024-01-25,Pending
OR0446,CL042,PR003,LO042,1117.58,2024-01-11,Fulfilled
OR0447,CL020,PR005,LO065,3876.93,2024-01-11,Pending
OR0448,CL013,PR002,LO027,9410.1,2024-01-10,Fulfilled
OR0449,CL037,PR005,LO079,7750.94,2024-01-08,Pending
OR0450,CL002,PR004,LO021,4150.85,2024-01-27,Pending
OR0451,CL023,PR005,LO094,308.09,2024-01-27,Pending
OR0452,CL018,PR001,LO001,8195.09,2024-01-18,Pending
OR0453,CL010,PR004,LO014,9307.09,2024-01-09,Fulfilled
OR0454,CL001,PR005,LO098,5377.28,2024-01-24,Pending
OR0455,CL005,PR002,LO049,4800.26,2024-01-14,Pending
OR0456,CL019,PR001,LO009,9499.41,2024-01-07,Pending
OR0457,CL028,PR001,LO036,2811.37,2024-01-30,Fulfilled
OR0458,CL017,PR003,LO083,1659.26,2024-01-30,Pending
OR0459,CL026,PR005,LO044,5252.16,2024-01-18,Fulfilled
OR0460,CL035,PR002,LO004,5972.0,2024-01-11,Pending
OR0461,CL001,PR002,LO072,3227.52,2024-01-25,Pending
OR0462,CL019,PR003,LO060,6609.65,2024-01-06,Pending
OR0463,CL020,PR003,LO068,9880.45,2024-01-27,Fulfilled
OR0464,CL041,PR003,LO092,8569.66,2024-01-09,Pending
OR0465,CL012,PR003,LO035,287.65,2024-01-10,Pending
OR0466,CL021,PR004,LO076,7174.79,2024-01-22,Pending
OR0467,CL050,PR002,LO079,2569.4,2024-01-27,Pending
OR0468,CL007,PR001,LO076,9579.3,2024-01-15,Pending
OR0469,CL001,PR001,LO032,1999.03,2024-01-06,Fulfilled
OR0470,CL042,PR005,LO026,1045.75,2024-01-27,Fulfilled
OR0471,CL018,PR002,LO003,9989.21,2024-01-23,Pending
OR0472,CL020,PR002,LO076,9823.76,2024-01-22,Pending
OR0473,CL015,PR003,LO016,4954.51,2024-01-25,Pending
OR0474,CL033,PR005,LO084,1645.3,2024-01-06,Fulfilled
OR0475,CL048,PR003,LO099,6147.59,2024-01-14,Fulfilled
OR0476,CL029,PR002,LO042,8370.82,2024-01-18,Fulfilled
OR0477,CL028,PR004,LO046,125.27,2024-01-11,Pending
OR0478,CL030,PR005,LO024,2829.49,2024-01-13,Fulfilled
OR0479,CL034,PR005,LO095,2131.92,2024-01-02,Pending
OR0480,CL001,PR003,LO097,7380.61,2024-01-21,Fulfilled
OR0481,CL014,PR002,LO011,8009.58,2024-01-26,Fulfilled
OR0482,CL029,PR002,LO099,9352.13,2024-01-17,Fulfilled
OR0483,CL014,PR003,LO079,1958.26,2024-01-24,Pending
OR0484,CL048,PR005,LO082,1899.02,2024-01-04,Fulfilled
OR0485,CL035,PR001,LO057,2669.75,2024-01-06,Fulfilled
OR0486,CL043,PR004,LO032,9611.08,2024-01-12,Pending
OR0487,CL023,PR003,LO066,3878.95,2024-01-06,Pending
OR0488,CL037,PR001,LO039,9816.62,2024-01-28,Fulfilled
OR0489,CL027,PR005,LO072,2626.36,2024-01-22,Fulfilled
OR0490,CL024,PR003,LO098,3640.01,2024-01-09,Pending
OR0491,CL044,PR005,LO050,968.35,2024-01-13,Pending
OR0492,CL044,PR004,LO071,5062.6,2024-01-27,Pending
OR0493,CL035,PR002,LO092,8548.0,2024-01-30,Pending
OR0494,CL014,PR002,LO065,5938.6,2024-01-31,Fulfilled
OR0495,CL014,PR002,LO003,4051.76,2024-01-01,Fulfilled
OR0496,CL039,PR004,LO094,8617.07,2024-01-17,Fulfilled
OR0497,CL040,PR002,LO011,9120.46,2024-01-22,Fulfilled
OR0498,CL029,PR002,LO015,7590.81,2024-01-03,Fulfilled
OR0499,CL011,PR001,LO093,1879.64,2024-01-20,Fulfilled
OR0500,CL019,PR005,LO070,3685.93,2024-01-23,Fulfilled
OR0501,CL016,PR005,LO092,5420.79,2024-01-05,Pending
OR0502,CL023,PR003,LO015,8449.82,2024-01-17,Fulfilled
OR0503,CL041,PR004,LO020,3242.64,2024-01-15,Fulfilled
OR0504,CL031,PR005,LO005,8860.08,2024-01-28,Fulfilled
OR0505,CL030,PR004,LO083,1087.49,2024-01-01,Pending
OR0506,CL050,PR004,LO005,2702.39,2024-01-14,Pending
OR0507,CL019,PR002,LO070,9581.15,2024-01-16,Fulfilled
OR0508,CL007,PR003,LO033,5247.93,2024-01-12,Pending
OR0509,CL026,PR001,LO054,1195.14,2024-01-01,Fulfilled
OR0510,CL043,PR004,LO100,4598.25,2024-01-30,Fulfilled
OR0511,CL013,PR003,LO031,6533.09,2024-01-29,Pending
OR0512,CL035,PR004,LO011,5815.7,2024-01-30,Fulfilled
OR0513,CL020,PR001,LO044,4535.28,2024-01-03,Fulfilled
OR0514,CL025,PR004,LO044,6095.21,2024-01-08,Fulfilled
OR0515,CL040,PR001,LO050,7089.85,2024-01-13,Fulfilled
OR0516,CL015,PR001,LO084,6133.12,2024-01-26,Fulfilled
OR0517,CL038,PR005,LO085,3878.73,2024-01-15,Fulfilled
OR0518,CL020,PR003,LO087,1094.52,2024-01-25,Fulfilled
OR0519,CL001,PR005,LO041,9116.25,2024-01-18,Pending
OR0520,CL047,PR002,LO005,1269.43,2024-01-28,Fulfilled
OR0521,CL041,PR002,LO016,2978.16,2024-01-05,Pending
OR0522,CL038,PR004,LO055,175.89,2024-01-08,Fulfilled
OR0523,CL037,PR002,LO062,2174.46,2024-01-21,Fulfilled
OR0524,CL024,PR004,LO069,5369.1,2024-01-04,Pending
OR0525,CL024,PR005,LO049,1133.77,2024-01-15,Pending
OR0526,CL048,PR003,LO011,2607.44,2024-01-18,Pending
OR0527,CL005,PR004,LO081,2094.64,2024-01-05,Fulfilled
OR0528,CL013,PR003,LO060,4536.05,2024-01-28,Fulfilled
OR0529,CL034,PR003,LO080,1504.35,2024-01-27,Pending
OR0530,CL003,PR002,LO020,3697.28,2024-01-26,Pending
OR0531,CL050,PR002,LO018,780.54,2024-01-12,Fulfilled
OR0532,CL006,PR005,LO032,5149.16,2024-01-11,Fulfilled
OR0533,CL042,PR005,LO001,3774.47,2024-01-10,Fulfilled
OR0534,CL050,PR003,LO007,9695.72,2024-01-25,Pending
OR0535,CL015,PR005,LO100,9653.96,2024-01-14,Fulfilled
OR0536,CL005,PR002,LO009,7042.29,2024-01-19,Fulfilled
OR0537,CL012,PR005,LO090,5929.73,2024-01-22,Pending
OR0538,CL023,PR004,LO005,7145.48,2024-01-10,Fulfilled
OR0539,CL040,PR002,LO026,8197.85,2024-01-31,Fulfilled
OR0540,CL035,PR001,LO099,3278.81,2024-01-13,Fulfilled
OR0541,CL011,PR004,LO090,6215.71,2024-01-26,Fulfilled
OR0542,CL018,PR003,LO016,6397.02,2024-01-26,Fulfilled
OR0543,CL033,PR004,LO045,3058.97,2024-01-20,Fulfilled
OR0544,CL047,PR004,LO049,7210.05,2024-01-24,Fulfilled
OR0545,CL023,PR002,LO066,6480.91,2024-01-23,Fulfilled
OR0546,CL049,PR004,LO042,1092.47,2024-01-18,Pending
OR0547,CL026,PR002,LO017,2138.38,2024-01-10,Pending
OR0548,CL030,PR004,LO054,5373.27,2024-01-13,Fulfilled
OR0549,CL042,PR002,LO077,6480.68,2024-01-10,Pending
OR0550,CL007,PR003,LO008,1925.61,2024-01-14,Fulfilled
OR0551,CL042,PR004,LO017,6615.82,2024-01-11,Fulfilled
OR0552,CL008,PR002,LO076,7813.52,2024-01-20,Fulfilled
OR0553,CL037,PR001,LO083,7901.6,2024-01-29,Fulfilled
OR0554,CL033,PR005,LO027,8084.82,2024-01-07,Fulfilled
OR0555,CL011,PR003,LO079,9831.22,2024-01-24,Fulfilled
OR0556,CL021,PR004,LO049,7325.86,2024-01-02,Fulfilled
OR0557,CL011,PR003,LO033,4999.53,2024-01-20,Pending
OR0558,CL046,PR002,LO019,8295.34,2024-01-22,Pending
OR0559,CL035,PR003,LO055,3176.28,2024-01-23,Pending
OR0560,CL036,PR004,LO028,9917.55,2024-01-29,Fulfilled
OR0561,CL020,PR003,LO034,9700.55,2024-01-28,Pending
OR0562,CL012,PR004,LO068,2186.85,2024-01-24,Pending
OR0563,CL030,PR002,LO011,3496.3,2024-01-17,Fulfilled
OR0564,CL026,PR002,LO007,2372.16,2024-01-21,Fulfilled
OR0565,CL009,PR001,LO067,2261.91,2024-01-21,Fulfilled
OR0566,CL041,PR005,LO099,3720.8,2024-01-18,Pending
OR0567,CL005,PR002,LO005,744.85,2024-01-11,Pending
OR0568,CL033,PR005,LO026,9325.24,2024-01-04,Fulfilled
OR0569,CL043,PR004,LO001,434.27,2024-01-14,Fulfilled
OR0570,CL042,PR005,LO075,1688.57,2024-01-07,Fulfilled
OR0571,CL026,PR003,LO069,8036.45,2024-01-05,Fulfilled
OR0572,CL036,PR001,LO040,3943.59,2024-01-01,Pending
OR0573,CL005,PR003,LO096,5408.96,2024-01-10,Fulfilled
OR0574,CL035,PR001,LO090,7465.44,2024-01-27,Fulfilled
OR0575,CL020,PR002,LO017,1373.98,2024-01-11,Pending
OR0576,CL046,PR005,LO004,940.07,2024-01-07,Fulfilled
OR0577,CL006,PR005,LO014,1098.06,2024-01-30,Pending
OR0578,CL020,PR004,LO067,7897.59,2024-01-27,Pending
OR0579,CL039,PR003,LO032,3214.13,2024-01-21,Fulfilled
OR0580,CL032,PR005,LO039,3414.83,2024-01-16,Pending
OR0581,CL022,PR004,LO008,8848.78,2024-01-07,Fulfilled
OR0582,CL028,PR001,LO094,3165.15,2024-01-28,Fulfilled
OR0583,CL025,PR004,LO072,7368.84,2024-01-30,Pending
OR0584,CL026,PR004,LO020,9149.67,2024-01-06,Pending
OR0585,CL047,PR001,LO012,7475.23,2024-01-28,Pending
OR0586,CL045,PR001,LO034,8318.64,2024-01-19,Pending
OR0587,CL011,PR005,LO046,268.44,2024-01-28,Fulfilled
OR0588,CL010,PR003,LO075,2075.73,2024-01-12,Pending
OR0589,CL018,PR004,LO028,2984.3,2024-01-09,Pending
OR0590,CL031,PR005,LO025,2826.07,2024-01-19,Pending
OR0591,CL012,PR002,LO007,8001.07,2024-01-24,Pending
OR0592,CL043,PR002,LO026,9226.4,2024-01-23,Fulfilled
OR0593,CL011,PR001,LO037,732.89,2024-01-25,Pending
OR0594,CL018,PR001,LO091,971.45,2024-01-29,Fulfilled
OR0595,CL048,PR005,LO030,3958.66,2024-01-29,Pending
OR0596,CL019,PR003,LO010,8553.98,2024-01-31,Pending
OR0597,CL001,PR003,LO068,1285.62,2024-01-29,Fulfilled
OR0598,CL011,PR002,LO036,5439.88,2024-01-18,Pending
OR0599,CL012,PR005,LO010,2750.29,2024-01-05,Pending
OR0600,CL037,PR003,LO026,3843.68,2024-01-20,Pending
OR0601,CL009,PR005,LO004,5130.69,2024-01-24,Pending
OR0602,CL040,PR003,LO040,1938.31,2024-01-29,Pending
OR0603,CL034,PR002,LO032,6010.84,2024-01-17,Pending
OR0604,CL024,PR002,LO033,2669.45,2024-01-31,Fulfilled
OR0605,CL048,PR004,LO054,2682.12,2024-01-11,Pending
OR0606,CL012,PR004,LO064,7895.37,2024-01-31,Pending
OR0607,CL024,PR003,LO062,6867.14,2024-01-21,Fulfilled
OR0608,CL041,PR003,LO085,2593.86,2024-01-19,Fulfilled
OR0609,CL021,PR002,LO048,9486.07,2024-01-06,Fulfilled
OR0610,CL005,PR003,LO053,8331.49,2024-01-03,Pending
OR0611,CL030,PR003,LO064,2382.87,2024-01-12,Fulfilled
OR0612,CL010,PR001,LO095,137.49,2024-01-27,Fulfilled
OR0613,CL009,PR004,LO037,9557.06,2024-01-15,Fulfilled
OR0614,CL032,PR004,LO041,6449.5,2024-01-06,Fulfilled
OR0615,CL030,PR001,LO062,4775.47,2024-01-10,Pending
OR0616,CL026,PR001,LO073,5596.38,2024-01-12,Fulfilled
OR0617,CL006,PR004,LO023,9337.2,2024-01-23,Fulfilled
OR0618,CL014,PR005,LO056,9869.15,2024-01-23,Pending
OR0619,CL026,PR001,LO040,7575.11,2024-01-25,Pending
OR0620,CL004,PR001,LO057,5269.48,2024-01-10,Fulfilled
OR0621,CL050,PR004,LO020,6037.24,2024-01-11,Fulfilled
OR0622,CL010,PR004,LO072,7286.69,2024-01-04,Pending
OR0623,CL015,PR002,LO039,719.25,2024-01-26,Fulfilled
OR0624,CL005,PR002,LO089,6009.42,2024-01-15,Pending
OR0625,CL015,PR004,LO004,7754.85,2024-01-18,Pending
OR0626,CL017,PR001,LO045,424.86,2024-01-19,Pending
OR0627,CL024,PR001,LO057,4823.4,2024-01-31,Pending
OR0628,CL049,PR001,LO049,4896.96,2024-01-31,Fulfilled
OR0629,CL027,PR003,LO015,7853.78,2024-01-01,Pending
OR0630,CL030,PR004,LO002,2436.54,2024-01-22,Pending
OR0631,CL028,PR001,LO073,5377.96,2024-01-07,Fulfilled
OR0632,CL046,PR002,LO066,8292.42,2024-01-04,Pending
OR0633,CL048,PR001,LO011,4031.73,2024-01-27,Pending
OR0634,CL033,PR002,LO085,4304.95,2024-01-06,Pending
OR0635,CL027,PR001,LO080,2904.36,2024-01-19,Fulfilled
OR0636,CL029,PR004,LO049,7221.55,2024-01-10,Fulfilled
OR0637,CL026,PR004,LO092,7546.07,2024-01-23,Fulfilled
OR0638,CL026,PR001,LO014,9505.78,2024-01-27,Fulfilled
OR0639,CL042,PR004,LO081,4084.36,2024-01-12,Fulfilled
OR0640,CL012,PR004,LO036,3075.47,2024-01-24,Pending
OR0641,CL017,PR004,LO086,429.92,2024-01-04,Fulfilled
OR0642,CL033,PR001,LO061,2530.47,2024-01-02,Fulfilled
OR0643,CL045,PR001,LO063,3098.1,2024-01-23,Fulfilled
OR0644,CL025,PR003,LO036,443.17,2024-01-20,Pending
OR0645,CL022,PR005,LO070,8240.7,2024-01-29,Pending
OR0646,CL002,PR004,LO080,4627.37,2024-01-04,Pending
OR0647,CL005,PR003,LO016,6182.07,2024-01-23,Pending
OR0648,CL001,PR001,LO017,8725.95,2024-01-05,Pending
OR0649,CL034,PR001,LO070,2860.21,2024-01-04,Pending
OR0650,CL030,PR001,LO055,891.9,2024-01-02,Fulfilled
OR0651,CL046,PR001,LO076,9522.19,2024-01-18,Fulfilled
OR0652,CL044,PR001,LO061,7739.38,2024-01-26,Pending
OR0653,CL025,PR002,LO020,687.47,2024-01-17,Fulfilled
OR0654,CL050,PR003,LO020,7758.08,2024-01-03,Pending
OR0655,CL040,PR001,LO053,7411.65,2024-01-30,Pending
OR0656,CL006,PR004,LO071,8744.59,2024-01-24,Fulfilled
OR0657,CL036,PR005,LO096,2998.7,2024-01-02,Fulfilled
OR0658,CL040,PR005,LO065,3734.53,2024-01-26,Fulfilled
OR0659,CL024,PR004,LO042,1053.46,2024-01-31,Fulfilled
OR0660,CL039,PR004,LO017,754.93,2024-01-29,Fulfilled
OR0661,CL014,PR002,LO041,6108.02,2024-01-08,Pending
OR0662,CL008,PR001,LO008,9733.02,2024-01-23,Pending
OR0663,CL019,PR005,LO031,4579.53,2024-01-16,Fulfilled
OR0664,CL040,PR005,LO023,8477.12,2024-01-01,Pending
OR0665,CL031,PR001,LO001,7021.03,2024-01-12,Fulfilled
OR0666,CL031,PR001,LO073,2197.36,2024-01-15,Fulfilled
OR0667,CL039,PR004,LO004,9416.24,2024-01-12,Fulfilled
OR0668,CL049,PR002,LO092,2958.83,2024-01-08,Fulfilled
OR0669,CL044,PR001,LO100,5265.82,2024-01-12,Fulfilled
OR0670,CL046,PR001,LO011,622.84,2024-01-31,Pending
OR0671,CL046,PR002,LO050,339.6,2024-01-29,Fulfilled
OR0672,CL019,PR004,LO005,8342.1,2024-01-24,Pending
OR0673,CL035,PR004,LO033,1834.23,2024-01-26,Fulfilled
OR0674,CL003,PR001,LO058,5082.62,2024-01-18,Pending
OR0675,CL038,PR005,LO021,5600.01,2024-01-10,Fulfilled
OR0676,CL016,PR001,LO046,6129.32,2024-01-28,Pending
OR0677,CL027,PR003,LO010,2319.85,2024-01-14,Pending
OR0678,CL028,PR004,LO091,5220.19,2024-01-08,Fulfilled
OR0679,CL038,PR003,LO091,2929.78,2024-01-05,Pending
OR0680,CL038,PR004,LO091,3769.49,2024-01-12,Fulfilled
OR0681,CL010,PR002,LO040,510.02,2024-01-05,Pending
OR0682,CL011,PR005,LO076,7430.97,2024-01-07,Fulfilled
OR0683,CL033,PR003,LO046,1182.06,2024-01-15,Pending
OR0684,CL011,PR004,LO097,314.52,2024-01-14,Pending
OR0685,CL039,PR004,LO078,3527.58,2024-01-22,Fulfilled
OR0686,CL034,PR005,LO076,617.76,2024-01-30,Pending
OR0687,CL025,PR003,LO094,3486.0,2024-01-22,Pending
OR0688,CL003,PR004,LO081,9666.85,2024-01-12,Fulfilled
OR0689,CL036,PR004,LO030,2968.11,2024-01-06,Fulfilled
OR0690,CL014,PR004,LO040,3683.07,2024-01-04,Pending
OR0691,CL039,PR005,LO069,4901.14,2024-01-05,Fulfilled
OR0692,CL037,PR004,LO029,6882.88,2024-01-21,Fulfilled
OR0693,CL017,PR005,LO065,1780.38,2024-01-01,Pending
OR0694,CL037,PR002,LO082,3556.32,2024-01-01,Pending
OR0695,CL016,PR002,LO049,4111.62,2024-01-17,Pending
OR0696,CL039,PR003,LO051,6878.58,2024-01-23,Fulfilled
OR0697,CL017,PR004,LO077,3018.63,2024-01-24,Pending
OR0698,CL003,PR004,LO058,5673.31,2024-01-08,Fulfilled
OR0699,CL027,PR002,LO061,6326.53,2024-01-07,Fulfilled
OR0700,CL037,PR001,LO052,558.07,2024-01-08,Fulfilled
OR0701,CL048,PR002,LO042,637.17,2024-01-03,Pending
OR0702,CL013,PR004,LO056,4134.3,2024-01-02,Fulfilled
OR0703,CL037,PR001,LO009,3690.32,2024-01-17,Pending
OR0704,CL038,PR004,LO051,3326.72,2024-01-26,Pending
OR0705,CL040,PR002,LO004,3891.2,2024-01-18,Pending
OR0706,CL026,PR003,LO031,6421.48,2024-01-22,Pending
OR0707,CL032,PR003,LO045,8300.53,2024-01-01,Fulfilled
OR0708,CL031,PR002,LO049,164.71,2024-01-15,Pending
OR0709,CL042,PR003,LO089,7237.41,2024-01-23,Fulfilled
OR0710,CL018,PR003,LO001,9803.46,2024-01-28,Pending
OR0711,CL039,PR001,LO032,8346.89,2024-01-24,Pending
OR0712,CL025,PR005,LO055,4016.02,2024-01-01,Pending
OR0713,CL022,PR001,LO005,8805.13,2024-01-13,Pending
OR0714,CL027,PR003,LO091,4622.1,2024-01-01,Pending
OR0715,CL001,PR002,LO067,7666.15,2024-01-14,Fulfilled
OR0716,CL049,PR005,LO063,6780.54,2024-01-03,Pending
OR0717,CL016,PR004,LO089,9600.15,2024-01-18,Fulfilled
OR0718,CL044,PR002,LO007,1637.38,2024-01-17,Pending
OR0719,CL016,PR004,LO049,2481.37,2024-01-28,Pending
OR0720,CL031,PR003,LO096,7980.71,2024-01-24,Pending
OR0721,CL021,PR003,LO003,3755.54,2024-01-20,Pending
OR0722,CL003,PR005,LO023,6849.12,2024-01-28,Pending
OR0723,CL006,PR001,LO032,5026.48,2024-01-18,Pending
OR0724,CL046,PR005,LO047,8313.59,2024-01-04,Fulfilled
OR0725,CL037,PR004,LO060,8313.45,2024-01-01,Pending
OR0726,CL045,PR001,LO021,7234.57,2024-01-15,Pending
OR0727,CL050,PR005,LO009,5464.34,2024-01-21,Fulfilled
OR0728,CL042,PR003,LO059,8079.5,2024-01-08,Fulfilled
OR0729,CL019,PR002,LO048,7027.08,2024-01-04,Fulfilled
OR0730,CL009,PR005,LO089,5024.27,2024-01-30,Pending
OR0731,CL013,PR003,LO006,4083.62,2024-01-30,Pending
OR0732,CL021,PR004,LO030,3711.5,2024-01-02,Pending
OR0733,CL013,PR002,LO072,7060.5,2024-01-31,Pending
OR0734,CL030,PR004,LO042,2727.74,2024-01-03,Pending
OR0735,CL047,PR002,LO089,6622.51,2024-01-24,Pending
OR0736,CL030,PR001,LO047,4732.53,2024-01-14,Pending
OR0737,CL036,PR003,LO045,4641.81,2024-01-31,Fulfilled
OR0738,CL018,PR005,LO059,1915.96,2024-01-08,Fulfilled
OR0739,CL016,PR002,LO088,7169.78,2024-01-13,Fulfilled
OR0740,CL026,PR001,LO071,1146.47,2024-01-29,Fulfilled
OR0741,CL007,PR004,LO086,3000.78,2024-01-29,Fulfilled
OR0742,CL022,PR004,LO010,9342.82,2024-01-15,Fulfilled
OR0743,CL029,PR003,LO035,8796.06,2024-01-24,Pending
OR0744,CL015,PR005,LO085,6500.51,2024-01-01,Pending
OR0745,CL016,PR002,LO070,6729.31,2024-01-10,Pending
OR0746,CL024,PR002,LO079,2730.64,2024-01-13,Pending
OR0747,CL011,PR003,LO048,1912.71,2024-01-16,Pending
OR0748,CL010,PR005,LO056,6312.64,2024-01-21,Pending
OR0749,CL001,PR001,LO095,8594.12,2024-01-10,Fulfilled
OR0750,CL002,PR004,LO024,6434.54,2024-01-13,Fulfilled
OR0751,CL012,PR005,LO096,7116.25,2024-01-11,Fulfilled
OR0752,CL050,PR002,LO028,3020.93,2024-01-23,Pending
OR0753,CL035,PR005,LO019,438.2,2024-01-07,Pending
OR0754,CL047,PR005,LO046,451.01,2024-01-23,Pending
OR0755,CL040,PR002,LO020,9308.74,2024-01-06,Pending
OR0756,CL006,PR005,LO032,3040.41,2024-01-28,Fulfilled
OR0757,CL032,PR005,LO027,8903.67,2024-01-24,Pending
OR0758,CL007,PR001,LO038,380.31,2024-01-08,Pending
OR0759,CL041,PR002,LO074,1243.68,2024-01-16,Fulfilled
OR0760,CL040,PR001,LO089,9016.37,2024-01-21,Fulfilled
OR0761,CL034,PR005,LO031,8707.84,2024-01-29,Pending
OR0762,CL046,PR004,LO095,3787.4,2024-01-05,Fulfilled
OR0763,CL050,PR001,LO081,2931.1,2024-01-23,Fulfilled
OR0764,CL018,PR002,LO042,9286.54,2024-01-21,Fulfilled
OR0765,CL012,PR003,LO064,4323.16,2024-01-31,Pending
OR0766,CL006,PR004,LO055,7999.8,2024-01-21,Pending
OR0767,CL037,PR004,LO027,2386.07,2024-01-04,Fulfilled
OR0768,CL027,PR003,LO100,2732.35,2024-01-08,Pending
OR0769,CL031,PR005,LO051,662.55,2024-01-09,Fulfilled
OR0770,CL050,PR002,LO002,1331.72,2024-01-24,Fulfilled
OR0771,CL022,PR001,LO034,1305.99,2024-01-19,Fulfilled
OR0772,CL007,PR004,LO055,8629.56,2024-01-23,Fulfilled
OR0773,CL039,PR004,LO034,8747.23,2024-01-12,Fulfilled
OR0774,CL031,PR001,LO039,6502.45,2024-01-28,Fulfilled
OR0775,CL042,PR003,LO083,8924.28,2024-01-12,Pending
OR0776,CL033,PR002,LO036,7976.42,2024-01-24,Pending
OR0777,CL014,PR001,LO022,328.38,2024-01-19,Fulfilled
OR0778,CL022,PR004,LO067,437.34,2024-01-01,Pending
OR0779,CL005,PR002,LO005,440.21,2024-01-12,Fulfilled
OR0780,CL047,PR003,LO060,6975.23,2024-01-31,Fulfilled
OR0781,CL007,PR005,LO085,6546.86,2024-01-19,Fulfilled
OR0782,CL040,PR004,LO044,3007.83,2024-01-10,Pending
OR0783,CL041,PR002,LO035,3310.1,2024-01-09,Fulfilled
OR0784,CL030,PR005,LO029,1277.1,2024-01-06,Fulfilled
OR0785,CL018,PR002,LO008,3218.24,2024-01-22,Fulfilled
OR0786,CL005,PR004,LO038,3617.16,2024-01-01,Fulfilled
OR0787,CL050,PR002,LO078,3351.7,2024-01-09,Pending
OR0788,CL021,PR005,LO070,998.2,2024-01-18,Fulfilled
OR0789,CL016,PR001,LO066,6961.63,2024-01-07,Fulfilled
OR0790,CL038,PR005,LO018,2062.94,2024-01-24,Pending
OR0791,CL039,PR002,LO001,4377.06,2024-01-01,Fulfilled
OR0792,CL022,PR004,LO077,788.32,2024-01-04,Pending
OR0793,CL029,PR004,LO098,1455.19,2024-01-12,Pending
OR0794,CL037,PR001,LO059,4646.09,2024-01-31,Pending
OR0795,CL038,PR005,LO049,8687.61,2024-01-19,Pending
OR0796,CL034,PR001,LO096,4650.91,2024-01-20,Pending
OR0797,CL009,PR003,LO098,8873.87,2024-01-01,Fulfilled
OR0798,CL038,PR001,LO018,7250.94,2024-01-27,Pending
OR0799,CL048,PR001,LO053,7984.85,2024-01-19,Fulfilled
OR0800,CL044,PR004,LO068,3721.1,2024-01-29,Pending
OR0801,CL026,PR003,LO097,3164.28,2024-01-11,Fulfilled
OR0802,CL014,PR002,LO026,9593.65,2024-01-23,Fulfilled
OR0803,CL007,PR005,LO088,1094.07,2024-01-13,Fulfilled
OR0804,CL021,PR003,LO023,6923.91,2024-01-21,Fulfilled
OR0805,CL003,PR003,LO029,2358.07,2024-01-01,Fulfilled
OR0806,CL047,PR003,LO020,4999.48,2024-01-31,Pending
OR0807,CL009,PR005,LO062,352.24,2024-01-11,Fulfilled
OR0808,CL049,PR004,LO048,7396.07,2024-01-29,Pending
OR0809,CL035,PR005,LO071,9841.88,2024-01-12,Fulfilled
OR0810,CL023,PR001,LO030,7134.44,2024-01-22,Pending
